"version_season","season_name","season","episode","castaway_id","castaway","challenge_type","result"
"US01","Survivor: Borneo",1,1,"US0002","B.B.","Immunity and Reward","Won"
"US01","Survivor: Borneo",1,1,"US0004","Ramona","Immunity and Reward","Won"
"US01","Survivor: Borneo",1,1,"US0006","Joel","Immunity and Reward","Won"
"US01","Survivor: Borneo",1,1,"US0007","Gretchen","Immunity and Reward","Won"
"US01","Survivor: Borneo",1,1,"US0008","Greg","Immunity and Reward","Won"
"US01","Survivor: Borneo",1,1,"US0009","Jenna","Immunity and Reward","Won"
"US01","Survivor: Borneo",1,1,"US0010","Gervase","Immunity and Reward","Won"
"US01","Survivor: Borneo",1,1,"US0011","Colleen","Immunity and Reward","Won"
"US01","Survivor: Borneo",1,1,"US0001","Sonja","Immunity and Reward","Lost"
"US01","Survivor: Borneo",1,1,"US0003","Stacey","Immunity and Reward","Lost"
"US01","Survivor: Borneo",1,1,"US0005","Dirk","Immunity and Reward","Lost"
"US01","Survivor: Borneo",1,1,"US0012","Sean","Immunity and Reward","Lost"
"US01","Survivor: Borneo",1,1,"US0013","Sue","Immunity and Reward","Lost"
"US01","Survivor: Borneo",1,1,"US0014","Rudy","Immunity and Reward","Lost"
"US01","Survivor: Borneo",1,1,"US0015","Kelly","Immunity and Reward","Lost"
"US01","Survivor: Borneo",1,1,"US0016","Richard","Immunity and Reward","Lost"
"US01","Survivor: Borneo",1,2,"US0002","B.B.","Immunity","Lost"
"US01","Survivor: Borneo",1,2,"US0004","Ramona","Immunity","Lost"
"US01","Survivor: Borneo",1,2,"US0006","Joel","Immunity","Lost"
"US01","Survivor: Borneo",1,2,"US0007","Gretchen","Immunity","Lost"
"US01","Survivor: Borneo",1,2,"US0008","Greg","Immunity","Lost"
"US01","Survivor: Borneo",1,2,"US0009","Jenna","Immunity","Lost"
"US01","Survivor: Borneo",1,2,"US0010","Gervase","Immunity","Lost"
"US01","Survivor: Borneo",1,2,"US0011","Colleen","Immunity","Lost"
"US01","Survivor: Borneo",1,2,"US0003","Stacey","Immunity","Won"
"US01","Survivor: Borneo",1,2,"US0005","Dirk","Immunity","Won"
"US01","Survivor: Borneo",1,2,"US0012","Sean","Immunity","Won"
"US01","Survivor: Borneo",1,2,"US0013","Sue","Immunity","Won"
"US01","Survivor: Borneo",1,2,"US0014","Rudy","Immunity","Won"
"US01","Survivor: Borneo",1,2,"US0015","Kelly","Immunity","Won"
"US01","Survivor: Borneo",1,2,"US0016","Richard","Immunity","Won"
"US01","Survivor: Borneo",1,3,"US0004","Ramona","Immunity","Won"
"US01","Survivor: Borneo",1,3,"US0006","Joel","Immunity","Won"
"US01","Survivor: Borneo",1,3,"US0007","Gretchen","Immunity","Won"
"US01","Survivor: Borneo",1,3,"US0008","Greg","Immunity","Won"
"US01","Survivor: Borneo",1,3,"US0009","Jenna","Immunity","Won"
"US01","Survivor: Borneo",1,3,"US0010","Gervase","Immunity","Won"
"US01","Survivor: Borneo",1,3,"US0011","Colleen","Immunity","Won"
"US01","Survivor: Borneo",1,3,"US0003","Stacey","Immunity","Lost"
"US01","Survivor: Borneo",1,3,"US0005","Dirk","Immunity","Lost"
"US01","Survivor: Borneo",1,3,"US0012","Sean","Immunity","Lost"
"US01","Survivor: Borneo",1,3,"US0013","Sue","Immunity","Lost"
"US01","Survivor: Borneo",1,3,"US0014","Rudy","Immunity","Lost"
"US01","Survivor: Borneo",1,3,"US0015","Kelly","Immunity","Lost"
"US01","Survivor: Borneo",1,3,"US0016","Richard","Immunity","Lost"
"US01","Survivor: Borneo",1,4,"US0004","Ramona","Immunity","Lost"
"US01","Survivor: Borneo",1,4,"US0006","Joel","Immunity","Lost"
"US01","Survivor: Borneo",1,4,"US0007","Gretchen","Immunity","Lost"
"US01","Survivor: Borneo",1,4,"US0008","Greg","Immunity","Lost"
"US01","Survivor: Borneo",1,4,"US0009","Jenna","Immunity","Lost"
"US01","Survivor: Borneo",1,4,"US0010","Gervase","Immunity","Lost"
"US01","Survivor: Borneo",1,4,"US0011","Colleen","Immunity","Lost"
"US01","Survivor: Borneo",1,4,"US0005","Dirk","Immunity","Won"
"US01","Survivor: Borneo",1,4,"US0012","Sean","Immunity","Won"
"US01","Survivor: Borneo",1,4,"US0013","Sue","Immunity","Won"
"US01","Survivor: Borneo",1,4,"US0014","Rudy","Immunity","Won"
"US01","Survivor: Borneo",1,4,"US0015","Kelly","Immunity","Won"
"US01","Survivor: Borneo",1,4,"US0016","Richard","Immunity","Won"
"US01","Survivor: Borneo",1,5,"US0006","Joel","Immunity","Won"
"US01","Survivor: Borneo",1,5,"US0007","Gretchen","Immunity","Won"
"US01","Survivor: Borneo",1,5,"US0008","Greg","Immunity","Won"
"US01","Survivor: Borneo",1,5,"US0009","Jenna","Immunity","Won"
"US01","Survivor: Borneo",1,5,"US0010","Gervase","Immunity","Won"
"US01","Survivor: Borneo",1,5,"US0011","Colleen","Immunity","Won"
"US01","Survivor: Borneo",1,5,"US0005","Dirk","Immunity","Lost"
"US01","Survivor: Borneo",1,5,"US0012","Sean","Immunity","Lost"
"US01","Survivor: Borneo",1,5,"US0013","Sue","Immunity","Lost"
"US01","Survivor: Borneo",1,5,"US0014","Rudy","Immunity","Lost"
"US01","Survivor: Borneo",1,5,"US0015","Kelly","Immunity","Lost"
"US01","Survivor: Borneo",1,5,"US0016","Richard","Immunity","Lost"
"US01","Survivor: Borneo",1,6,"US0006","Joel","Immunity","Lost"
"US01","Survivor: Borneo",1,6,"US0007","Gretchen","Immunity","Lost"
"US01","Survivor: Borneo",1,6,"US0008","Greg","Immunity","Lost"
"US01","Survivor: Borneo",1,6,"US0009","Jenna","Immunity","Lost"
"US01","Survivor: Borneo",1,6,"US0010","Gervase","Immunity","Lost"
"US01","Survivor: Borneo",1,6,"US0011","Colleen","Immunity","Lost"
"US01","Survivor: Borneo",1,6,"US0012","Sean","Immunity","Won"
"US01","Survivor: Borneo",1,6,"US0013","Sue","Immunity","Won"
"US01","Survivor: Borneo",1,6,"US0014","Rudy","Immunity","Won"
"US01","Survivor: Borneo",1,6,"US0015","Kelly","Immunity","Won"
"US01","Survivor: Borneo",1,6,"US0016","Richard","Immunity","Won"
